plate,numinSet,sample,Run,fullnum,ICP.run,WR.run,WR.plate,ICP.plate,ICP.runnum,isIBM,pedigree,znum,entity_id,pop,SampleWeight,B11,Na23,Mg25,Al27,P31,S34,K39,Ca43,Mn55,Fe57,Co59,Ni60,Cu65,Zn66,As75,Se82,Rb85,Sr88,Mo98,Cd111
17,228,4959,254,884,2,3,5,5,254,NA,T232,Z027E0249,09IN4959,27,355.675,4.404232972,1.938194097,1300.995278,0.52724325,3758.908202,1351.788251,3426.631977,113.4809174,10.17897614,17.50019407,0.000605793,0.272567783,1.909843899,24.93790826,0.015598987,0.989281829,1.458814676,0.212546427,0.103542752,0.555444152
17,253,4959,294,924,2,3,5,5,294,NA,T232,Z027E0249,09IN4959,27,343.158,3.512575782,2.916374627,1438.995897,0.874925393,3705.929252,1215.213019,3469.518017,120.1349177,10.72828793,18.98715062,0.000742222,0.301471509,1.510784146,27.65024143,0.010688933,0.813234024,1.516431305,0.22604406,0.121018887,0.440179686
59,253,4959,294,3171,5,10,5,11,615,NA,T232,Z027E0249,09IN4959,27,327.885,3.610298684,2.014700462,1302.085149,0.598228569,3144.688757,1104.592715,2916.217284,109.3233076,8.725678922,21.54416181,0.00080963,0.271640175,1.588011412,25.95054437,0.011739067,1.030090859,1.345524014,0.199678966,0.114440512,0.424937779
59,228,4959,254,3131,5,10,5,11,575,NA,T232,Z027E0249,09IN4959,27,400.45,4.111575372,1.248592669,1243.13034,0.606497035,3280.322889,1135.406972,3088.80973,110.6651446,9.35123377,17.17733547,0.000740486,0.261101338,1.665635032,24.08461466,0.010520172,0.86861612,1.479247839,0.199814103,0.104509941,0.313285902
43,60,1336,55,2290,4,8,1,7,376,MO008,IBM,Z017E0004,09IN1336,17,270.975,3.104983583,4.324634896,1049.357413,0.666055306,2739.782388,907.8668999,3388.307071,35.45962985,3.752625721,18.34785414,0.002321758,0.083764258,0.939387703,18.92252762,0.015589124,2.79608129,1.764303386,0.072703651,0.177276462,0.247020875
30,208,5070,237,1509,3,5,6,6,237,NA,NC360,Z027E0219,09IN5070,27,290.552,3.449789201,1.649801665,1574.95796,0.705473163,4092.492433,1208.30479,4033.511461,42.69482665,5.614293487,26.38924383,0.000525395,0.089276406,2.517742141,22.07542381,0.009278791,0.859667641,2.028802925,0.128387099,0.139855192,0.238748922
20,24,5076,27,978,2,4,2,8,348,NA,NC236,Z027E0183,09IN5076,27,303.87,4.403425909,1.495933101,1287.127789,0.698801997,3528.227903,990.9634762,3867.575233,66.2728639,3.242673867,18.35446603,0.003709696,0.14396475,1.932559379,23.17716193,0.010324376,0.876081064,2.408601913,0.122383558,0.316665176,0.237090078
30,209,5070,236,1508,3,5,6,6,236,NA,NC360,Z027E0219,09IN5070,27,290.257,3.51445391,1.630938659,1544.592667,0.6498299,3954.400395,1162.856505,4103.945514,41.61420952,5.978538683,24.59991491,0.000699286,0.099298507,2.4539181,21.22978549,0.008138435,0.853672419,1.941896444,0.08891714,0.129740617,0.235318977
72,209,5070,236,3755,6,12,6,12,557,NA,NC360,Z027E0219,09IN5070,27,288.395,3.213106228,2.082716719,1543.081923,1.62615977,4033.512269,1171.890714,4379.322529,30.87821546,5.449897294,25.94919346,0.001104762,0.112385472,2.460594807,23.29059897,0.007079536,0.854463913,2.134642813,0.037605683,0.126392302,0.229604638
72,208,5070,237,3756,6,12,6,12,558,NA,NC360,Z027E0219,09IN5070,27,266.689,3.600849901,1.766703358,1554.8369,1.121615348,3980.166915,1172.349593,4153.694471,37.32468723,5.742343343,27.07205691,0.001077808,0.105261671,2.370750674,21.10210524,0.00873633,0.893837075,2.07376187,0.051712003,0.136602775,0.225008691
