plate,numinSet,sample,Run,fullnum,ICP.run,WR.run,WR.plate,ICP.plate,ICP.runnum,isIBM,pedigree,znum,PlotID,pop,SampleWeight,B11,Na23,Mg25,Al27,P31,S34,K39,Ca43,Mn55,Fe57,Co59,Ni60,Cu65,Zn66,As75,Se82,Rb85,Sr88,Mo98,Cd111
54,237,10PU0719,258,2814,5,9,6,6,258,NA,(B73×Ky21)S5 Sib,Z014E0145,10PU0719,14,97.21,7.632152801,7.901564723,1084.622083,1.513213668,4195.322095,2071.557992,6805.560823,78.55273015,4.055424236,22.89296101,0.002438342,0.506172644,3.356220279,29.59159461,0.040475379,1.86820685,0.591775354,0.227945935,0.430919358,0.507541665
34,151,10PU0793,167,1760,3,6,4,10,488,NA,(B73×Ky21)S5 Sib,Z014E0010,10PU0793,14,178.984,4.1199659,3.490861082,1063.231301,1.093736147,3504.855742,1193.548599,4772.778131,114.9939969,5.260918851,20.66093104,0.00152317,0.25909778,2.970863163,31.13447641,0.024871358,1.360815469,0.527454874,0.368637934,0.302890335,0.468946735
54,244,10PU0719,272,2828,5,9,6,6,272,NA,(B73×Ky21)S5 Sib,Z014E0145,10PU0719,14,88.313,7.954131415,12.11062417,846.5506183,1.886175004,3275.917022,1799.496461,5588.662631,97.23404275,4.179464186,15.24887862,0.002764402,0.3671476,3.626511821,24.32995928,0.044808736,2.50174673,0.674708932,0.219801504,0.316336852,0.461656761
84,202,10PU0748,225,4386,7,14,6,12,546,NA,(B73×Ky21)S5 Sib,Z014E0094,10PU0748,14,230.841,3.687098735,1.681832378,1194.318626,0.612127898,3420.077468,1247.699726,4049.536897,94.41479551,7.889441835,18.46839781,0.001360175,0.098199816,5.232060558,20.46939975,0.016369289,1.296926956,0.410314928,0.107878773,0.302226017,0.421424017
2,48,10PU1409,54,54,1,1,2,2,54,MO159,IBM,Z017E0131,10PU1409,17,304.399,5.466147827,6.484772105,1138.171546,1.651405277,3276.942618,1188.120481,5019.171573,66.63114252,4.941774786,21.32327238,0.001244293,0.231336671,3.022774857,37.16229368,0.015262342,0.963022413,0.268729712,0.204063887,0.286491768,0.420083831
12,237,10PU0719,258,578,1,2,6,12,578,NA,(B73×Ky21)S5 Sib,Z014E0145,10PU0719,14,164.75,4.551934132,6.835858977,1100.590328,1.270710233,3142.647662,1169.966498,4581.666456,93.48605077,3.67155974,23.39138989,0.001198973,0.369169096,3.202729112,28.31518968,0.019597358,1.022892218,0.363810951,0.389521376,0.410917051,0.411478857
54,277,10PU0730,320,2876,5,9,6,6,320,NA,(B73×Ky21)S5 Sib,Z014E0114,10PU0730,14,140.366,5.195533485,5.712650403,1296.768994,1.30523136,4042.65285,1541.897244,6464.274696,104.1159058,6.140179297,28.27084706,0.001606048,0.066816807,3.493022157,29.07165119,0.028295362,1.823321576,0.60470724,0.2109064,0.399519534,0.404167191
30,277,10PU0718,320,1592,3,5,6,6,320,NA,(B73×Ky21)S5 Sib,Z014E0076,10PU0718,14,184.502,4.747955559,5.854482875,1002.448073,1.831609141,3207.337382,1100.563183,4518.640744,153.2018146,4.039818438,21.6847275,0.001499516,0.170449667,4.11692146,29.4242108,0.022660888,1.373679415,0.279329074,0.529151134,0.529121933,0.388044213
48,266,10PU0832,296,2531,4,8,6,12,617,NA,(B73×Ky21)S5 Sib,Z014E0009,10PU0832,14,315.451,4.47009786,2.240224072,1080.9104,0.429034238,2976.961062,1019.576124,3476.183595,48.33652693,3.550291517,15.28113748,0.000962258,0.26062407,3.505256006,17.55992297,0.014706425,1.161803242,0.334541434,0.107031869,0.337110055,0.383334548
34,138,10PU0793,154,1747,3,6,4,10,475,NA,(B73×Ky21)S5 Sib,Z014E0010,10PU0793,14,207.363,4.580920496,2.76981719,1226.793978,0.87767757,3727.095254,1255.889612,4945.041007,113.4759679,5.854495304,21.93037273,0.00095337,0.214718067,2.81053175,27.11922016,0.020168314,1.10725383,0.427772525,0.317740818,0.342644997,0.37176283
12,244,10PU0719,272,592,1,2,6,12,592,NA,(B73×Ky21)S5 Sib,Z014E0145,10PU0719,14,161.016,5.200469883,6.056243765,1082.737628,1.262014335,3239.810648,1253.646732,5083.761453,98.04521167,3.973456742,21.48735718,0.000972247,0.362819306,2.500674127,26.35795684,0.023375683,1.257790775,0.413892925,0.412647155,0.393345166,0.365522719
62,22,10PU0825,25,3223,6,11,2,2,25,NA,(B73×Ky21)S5 Sib,Z014E0029,10PU0825,14,230.283,3.428662343,1.265062305,1254.126553,0.494334129,3270.294885,1285.452663,3568.75488,106.5041602,5.22470298,15.06423743,0.001006553,0.137649143,3.007535167,17.9239052,0.011997244,1.426986134,0.562405476,0.168621975,0.35282055,0.355602585
87,126,10PU0825,142,4624,8,15,3,3,142,NA,(B73×Ky21)S5 Sib,Z014E0029,10PU0825,14,264.755,4.678428768,1.82096875,1246.919301,0.606906294,2690.645939,1288.253306,4167.525398,96.35793631,4.517870864,16.36712925,0.000749308,0.154521358,2.610339467,18.68082664,0.013458339,1.009480558,0.715431684,0.148011034,0.324874016,0.351969257
6,266,10PU0832,295,295,1,1,6,6,295,NA,(B73×Ky21)S5 Sib,Z014E0009,10PU0832,14,302,4.502573978,4.188418964,1018.616836,0.651199346,2434.810621,988.6840818,3472.724068,75.65409758,2.992758835,13.81399958,0.000887477,0.252886005,3.486324238,15.37003849,0.012350299,1.382101089,0.316348379,0.367846007,0.313773822,0.336973926
11,195,10PU0759,217,537,1,2,5,11,537,NA,Ky21,Z027E0154,10PU0759,27,253.894,3.546205291,2.887063417,1310.897236,0.823600844,3048.80823,932.356054,3925.018478,104.5600215,7.368158321,14.60598355,0.000744612,0.110033275,5.469434017,20.8371788,0.014977336,0.977666071,0.434539924,0.189462561,0.330460825,0.33171822
87,99,10PU0825,118,4600,8,15,3,3,118,NA,(B73×Ky21)S5 Sib,Z014E0029,10PU0825,14,275.611,5.128821828,1.189751919,1187.374393,0.971287702,2585.801406,1264.893117,4335.131967,59.85285572,3.913220773,15.32337137,0.00079704,0.14955645,2.523298193,17.9809621,0.016146837,0.970734394,0.81526715,0.087459003,0.347818912,0.310992492
87,188,10PU0730,206,4688,8,15,3,3,206,NA,(B73×Ky21)S5 Sib,Z014E0114,10PU0730,14,269.13,4.415928295,1.28595798,1327.961789,0.765317152,2722.10025,1249.083743,4490.665378,52.94231426,6.509837752,23.4008247,0.000931083,0.142558492,2.978754797,33.34010641,0.013107873,0.99473801,0.374705034,0.074053938,0.256637917,0.310226431
