ID,B11,Na23,Mg25,Al27,P31,S34,K39,Ca43,Mn55,Fe57,Co59,Ni60,Cu65,Zn66,As75,Se82,Rb85,Sr88,Mo98,Cd111
Mo18W,3.874334287,2.699803003,1209.119962,1.159655974,3509.623091,1241.050997,4546.090617,69.05345218,5.485020362,19.49540374,0.001408186,0.108900792,2.605029684,26.74174673,0.006017037,1.014578695,2.92031113,0.14103496,0.272594452,0.007545187
CO255,4.203434611,2.392300031,1517.338218,1.171460433,3838.148522,1142.967882,3821.796218,72.8375918,8.061304903,26.75362503,0.002269896,0.2656214,2.042446653,22.41689048,0.01676602,1.176276784,0.679793457,0.165920351,0.58400326,0.008001978
NC296A,3.046567208,1.661533364,1191.508232,0.689518675,3132.114338,1100.383456,4655.913198,52.30023858,5.653690995,19.67978883,0.001402472,0.140909923,0.83051622,19.49823276,0.008768311,1.610679279,2.366690146,0.103317402,0.160483687,0.008021519
NC250,3.842975975,2.174880524,1360.849512,0.877135438,3196.539825,1078.74203,3340.848656,57.9370599,7.72474019,16.7579111,0.001055671,0.225230708,1.46750708,22.91645247,0.013372821,1.498889437,1.36242847,0.118163213,0.210733864,0.008863535
ILLHy,3.137982129,1.668476615,1357.917755,0.763453471,3334.942403,1151.96358,3744.899826,78.71026711,6.196459396,17.1149955,0.001602211,0.138732712,1.21354415,26.22723012,0.007456466,0.991595846,1.16413466,0.110955983,0.134094274,0.009326666
F6,3.712561488,2.13307053,1706.135359,1.074457187,3432.189933,1393.320642,3410.011785,91.54915324,6.195306354,22.05157889,0.001196131,0.165919149,2.46492189,32.63340161,0.008442528,1.940876902,1.347211264,0.182175929,0.217261271,0.009338704
CML220,3.744985661,2.265735975,1553.862425,0.686560621,3699.292953,1023.411311,3788.591236,76.64239371,3.464806053,23.25929965,0.001524786,0.219993644,1.809849618,33.46206587,0.010436282,1.50847347,1.570964501,0.141734504,0.227540794,0.009887449
NC296,3.211642997,1.862643006,1091.315387,0.855763567,2939.826276,1046.583967,4121.336407,46.20195941,6.117893738,21.76181209,0.001365266,0.073179549,0.637742409,24.08590228,0.010158211,1.845440634,1.500182937,0.084029983,0.153911101,0.01019483
NC328,3.918643275,2.148998511,1261.207482,1.102962234,3143.122462,1121.262864,3542.873898,64.58989654,4.860554573,20.69325228,0.001104104,0.206043042,1.597996896,24.45120739,0.009272689,1.586975404,1.700581115,0.13537995,0.132068573,0.010822168
CM37,3.877168987,2.603807016,1497.008456,0.501988602,3846.364976,1238.360444,4111.338633,41.7671827,4.994517937,21.08859409,0.000895418,0.111635486,2.699015513,30.19950079,0.011101057,1.396664064,0.803826203,0.09301697,0.369348967,0.011214298
K55,3.542958192,3.649913682,1416.316724,0.681781466,3774.656952,1123.246087,3566.668161,41.29243024,4.348428388,24.43153722,0.001580289,0.362538698,1.978998107,25.4729496,0.011960686,1.479367501,0.747693829,0.094674865,0.12174772,0.011295377
NC368,3.471797301,1.545106992,1213.980694,0.737666725,3643.217944,1013.15831,3509.682187,48.09757104,5.575396594,17.42573712,0.00097919,0.18245705,1.94845419,18.65198347,0.009966059,1.3626371,0.917081719,0.075974495,0.279361201,0.011309383
B103,4.893847148,3.494685957,1170.403906,0.797951445,3260.905145,1059.130187,4299.899402,39.73933038,4.376066329,20.58615318,0.001022503,0.247352235,1.574973402,24.43534957,0.013165148,2.108983028,1.220540738,0.115402368,0.236508981,0.011716585
NC326,3.903980939,1.628928003,1112.384109,0.660878065,2907.616769,1108.046851,4095.009637,36.78024283,4.708709488,20.04184654,0.001222432,0.19356447,1.32337576,18.29232732,0.013361121,1.370584412,1.257750915,0.070755434,0.175185605,0.012038226
MS153,4.132603071,2.161726388,1128.757179,0.521904388,2869.443556,954.4509067,3860.498347,35.80152388,5.974846422,18.47734448,0.001141251,0.111600915,3.068547347,18.82161285,0.014493893,1.567447645,1.34052317,0.070730224,0.206860712,0.012063705
B105,4.183423958,2.943821624,1371.919709,0.784857722,3001.051254,1173.203348,3554.140948,87.98999951,6.846791567,18.74377358,0.001033277,0.225451491,0.770806985,23.42772917,0.013367637,1.564910333,1.562615865,0.222745783,0.322627448,0.012132737
B2,4.273992989,3.160233676,1364.77295,1.473573823,3738.214107,1070.734219,4028.05592,75.67077397,8.172770703,31.14106453,0.001195737,0.087877501,3.708664652,29.88379268,0.009778514,1.667003075,0.995702649,0.181295663,0.170128731,0.012424106
H91,4.138775748,1.831406769,1387.015368,0.413690436,4123.40648,1302.033809,4286.592721,32.23726159,9.030695964,17.61532338,0.001057836,0.355247088,1.629689119,20.51624923,0.011867293,1.371328905,1.246290604,0.072426457,0.136794679,0.012900179
CH9,3.666856615,2.471085957,1315.717059,0.592383287,3571.817417,1125.634481,4090.304,44.83064262,5.330684121,16.77813268,0.001427419,0.229119737,1.076537729,21.54199343,0.011118342,1.530486445,2.303242068,0.120819595,0.199942766,0.012990483
N192,4.184159806,2.089823579,1492.791265,0.775302826,3638.428752,1259.054317,3959.45304,57.59422889,7.053993248,19.45710398,0.000781955,0.254694415,1.510089007,22.85561214,0.009690516,1.373624287,1.922308289,0.144749765,0.223014629,0.013071854
W153R,3.645081156,1.700793664,1613.972022,0.423658829,3922.752065,1359.512328,4165.265006,65.69382331,6.817328337,32.29228149,0.00108662,0.305956722,2.53785185,34.94204763,0.012139573,1.525337418,1.594383183,0.121278682,0.302932059,0.013340453
Va22,4.474207234,2.890549746,1560.944694,0.781720894,3958.106286,1327.696282,3931.849132,51.54701379,9.338154941,23.22705223,0.001120591,0.215380301,4.053627111,28.38665262,0.013987512,1.647289358,1.390396692,0.080340995,0.334466249,0.013383727
B97,3.857647774,2.630686606,1331.039158,0.515681047,3063.793921,956.912287,3195.574926,71.15548293,6.225027155,18.63274535,0.001114518,0.200925542,1.847157219,22.69570747,0.011041734,2.051594861,1.374498036,0.143570467,0.341837568,0.013841063
B104,3.535495295,2.892011453,1143.71126,0.632948713,2596.36044,986.2065781,3212.867134,49.26277476,6.248157711,15.81609655,0.001011583,0.326885389,1.313585326,16.37393625,0.012115752,1.243596878,1.42504889,0.11394647,0.220649346,0.014051412
Va26,3.538042579,1.740869723,1333.907411,0.608515701,3324.771213,1136.5097,4331.728211,39.37580094,4.258805544,23.00036652,0.00115399,0.226653495,1.29809056,22.19258276,0.012926619,2.26354598,2.146323438,0.078057304,0.362290703,0.014144865
NC320,3.727815152,2.628319017,1413.854373,0.528835453,3593.671669,1205.939181,3717.560605,71.73063726,4.293494618,20.26784514,0.001254402,0.193114551,1.957066827,20.46747929,0.014163705,1.77530076,1.695731679,0.134479443,0.420526862,0.014159842
A188,4.456536089,2.15286731,1451.339244,0.741528745,3798.167864,1204.055063,5280.976947,55.76317958,9.084462149,19.47244185,0.001815124,0.226714436,4.567245698,29.76009175,0.013122399,1.585690124,0.78840522,0.147761219,0.330868102,0.014174486
B79,4.397186756,2.931762991,1537.271498,0.783528658,3646.715473,1251.473457,3989.291741,80.15128766,6.41609988,18.38596617,0.001265817,0.205727559,2.043446752,22.59207598,0.014478898,1.775524798,1.699615714,0.234745806,0.300020661,0.01436575
NC364,4.824039375,2.901722886,1189.562852,1.123861036,3959.063508,1265.640092,4910.442062,32.0145367,3.770101117,19.44847825,0.002046875,0.147911059,2.635258026,22.70182518,0.007622865,0.49453135,1.821461458,0.065281733,0.24333269,0.014408213
