date	Chr	start	end	p-value	minP_pos	N
Fe57	1	9432935	9532935	1.205879e-06	9532935	1
Fe57	1	141986252	142086252	2.279048e-07	142086252	1
Fe57	1	179919167	180019167	6.53812e-07	180019167	1
Fe57	1	187006905	187106905	1.681894e-07	187106905	1
Fe57	1	199687853	199787853	3.798025e-08	199787853	1
Fe57	1	247851245	248122410	1.591564e-07	247951245	9
Fe57	1	283393307	283493307	4.27199e-07	283493307	1
Fe57	2	47615639	47715639	1.222278e-07	47715639	1
Fe57	2	149306817	149406817	3.101551e-07	149406817	1
Fe57	3	19802746	19902746	1.20636e-06	19902746	1
Fe57	3	46041770	46141770	3.882822e-08	46141770	1
Fe57	3	125404381	125504381	1.27352e-06	125504381	1
Fe57	3	130405759	130505759	6.06519e-07	130505759	1
Fe57	3	212137965	212237965	3.524317e-08	212237965	1
Fe57	3	217084967	217184967	5.989931e-07	217184967	1
Fe57	3	218609066	218709198	3.716941e-07	218709188	4
Fe57	3	222039924	222238119	3.994037e-07	222212697	3
Fe57	4	10941659	11041659	5.102134e-07	11041659	1
Fe57	4	124809583	124909583	1.285577e-06	124909583	1
Fe57	4	125056359	125156359	6.71184e-07	125156359	1
Fe57	4	125196226	125344070	3.832504e-07	125344070	2
Fe57	4	125527578	125627578	1.04499e-06	125627578	1
Fe57	4	126837279	126937279	3.775e-07	126937279	1
Fe57	4	127265982	127470618	1.925371e-07	127381106	9
Fe57	5	1482938	1585629	2.209422e-07	1583549	10
Fe57	5	149446922	149546922	7.256889e-07	149546922	1
Fe57	6	37250257	37350257	1.040489e-06	37350257	1
Fe57	6	37467924	37690709	6.155577e-08	37607078	18
Fe57	6	92912522	93080309	8.586044e-08	93080309	3
Fe57	6	160855857	160955857	7.065825e-07	160955857	1
Fe57	6	162337264	162437264	1.228031e-07	162437264	1
Fe57	6	170781723	170881723	5.951476e-07	170881723	1
Fe57	7	50358025	50458025	1.222968e-06	50458025	1
Fe57	7	54556865	54656865	6.546806e-07	54656865	1
Fe57	7	58927478	59027478	3.312198e-08	59027478	1
Fe57	7	138891731	138991731	1.016167e-06	138991731	1
Fe57	7	176563908	176663908	5.330301e-07	176663908	1
Fe57	8	9231873	9331873	1.104979e-06	9331873	1
Fe57	8	77388457	77488457	1.016151e-06	77488457	1
Fe57	8	176901708	177002522	3.999795e-07	177002492	3
Fe57	9	26225178	26325178	6.814462e-08	26325178	1
Fe57	9	102320243	102420243	5.96297e-07	102420243	1
Fe57	9	108848000	108950923	1.60873e-08	108949645	15
Fe57	9	148699138	148799138	1.122633e-06	148799138	1
Fe57	10	59688103	59788103	1.109177e-06	59788103	1
